Player	Position	Team	Opponent	Projection	Salary	CPP
LosAngeles Chargers	D	LAC	WAS	10.48	5100	487
Jacksonville Jaguars	D	JAC	SEA	9.94	5200	523
Cincinnati Bengals	D	CIN	CHI	9.82	4600	468
Denver Broncos	D	DEN	NYJ	9.28	4700	506
Buffalo Bills	D	BUF	IND	9.12	5300	581
Tennessee Titans	D	TEN	ARI	9.07	4800	529
Seattle Seahawks	D	SEA	JAC	9.01	4900	544
Chicago Bears	D	CHI	CIN	8.86	4600	519
TampaBay Buccaneers	D	TBB	DET	8.64	4500	521
KansasCity Chiefs	D	KCC	OAK	8.38	4800	573
LosAngeles Rams	D	LAR	PHI	8.26	4400	533
Dallas Cowboys	D	DAL	NYG	8.22	4400	535
Washington Redskins	D	WAS	LAC	8.06	4400	546
Carolina Panthers	D	CAR	MIN	7.96	4300	540
Philadelphia Eagles	D	PHI	LAR	7.86	4600	585
Minnesota Vikings	D	MIN	CAR	7.78	4600	591
SanFrancisco 49ers	D	SFO	HOU	7.76	4500	580
NewYork Jets	D	NYJ	DEN	7.56	4500	595
NewYork Giants	D	NYG	DAL	7.5	4100	547
Cleveland Browns	D	CLE	GBP	7.2	4000	556
Indianapolis Colts	D	IND	BUF	6.98	4100	587
Oakland Raiders	D	OAK	KCC	5.86	4200	717
Detroit Lions	D	DET	TBB	6.2	4700	758
GreenBay Packers	D	GBP	CLE	8.5	5000	588
Arizona Cardinals	D	ARI	TEN	5.8	4400	759
Alex Smith	QB	KCC	OAK	19.94	8200	411
Russell Wilson	QB	SEA	JAC	19.56	7700	394
Carson Wentz	QB	PHI	LAR	19.47	8600	442
Matthew Stafford	QB	DET	TBB	18.41	8000	435
Dak Prescott	QB	DAL	NYG	17.82	7700	432
Philip Rivers	QB	LAC	WAS	17.52	8100	462
Jared Goff	QB	LAR	PHI	17.46	7700	441
Jameis Winston	QB	TBB	DET	17.34	7200	415
Kirk Cousins	QB	WAS	LAC	17.01	7500	441
Derek Carr	QB	OAK	KCC	16.69	7700	461
Blaine Gabbert	QB	ARI	TEN	16.69	6600	395
Cam Newton	QB	CAR	MIN	16.64	7700	463
Tyrod Taylor	QB	BUF	IND	16.55	7600	459
Marcus Mariota	QB	TEN	ARI	16.35	7500	459
Case Keenum	QB	MIN	CAR	16.27	7500	461
Jimmy Garoppolo	QB	SFO	HOU	15.91	7000	440
Andy Dalton	QB	CIN	CHI	15.22	7300	480
Brett Hundley	QB	GBP	CLE	15.13	6900	456
Josh McCown	QB	NYJ	DEN	15.01	7600	506
Jacoby Brissett	QB	IND	BUF	14.88	6700	450
DeShone Kizer	QB	CLE	GBP	14.21	6400	450
Eli Manning	QB	NYG	DAL	14.15	6000	424
Trevor Siemian	QB	DEN	NYJ	14.15	6000	424
Blake Bortles	QB	JAC	SEA	13.86	7400	534
Tom Savage	QB	HOU	SFO	13.73	6000	437
Mitchell Trubisky	QB	CHI	CIN	12.11	6600	545
Kareem Hunt	RB	KCC	OAK	17.95	7200	401
Todd Gurley	RB	LAR	PHI	17.73	8500	479
Carlos Hyde	RB	SFO	HOU	16.7	6700	401
Leonard Fournette	RB	JAC	SEA	16.38	8300	507
Melvin Gordon	RB	LAC	WAS	16.24	8600	530
LeSean McCoy	RB	BUF	IND	16.12	9000	558
Lamar Miller	RB	HOU	SFO	13.76	6600	480
Alfred Morris	RB	DAL	NYG	13.45	6800	506
Joe Mixon	RB	CIN	CHI	13.26	7100	535
Jordan Howard	RB	CHI	CIN	12.92	7000	542
Marshawn Lynch	RB	OAK	KCC	12.92	6400	495
Jamaal Williams	RB	GBP	CLE	12.79	6600	516
Samaje Perine	RB	WAS	LAC	12.75	6600	518
